ID;Nom;Référence;Catégorie;Prix HT;Prix TTC;Quantité;Etat;Position
6;Papillon Magique Rose Fashion;MFT780;Mariage;16.640000;19.97;8;1;0
7;Papillon Magique Vert Fashion;MFT781;Mariage;16.638796;19.97;17;1;1
8;Papillon Magique Violet Fashion;MFT782;Mariage;16.638796;19.97;19;1;2
10;Papillon Magique Bleu Fashion;MFT783;Mariage;16.638796;19.97;13;1;3
11;Papillon Magique Blanc Fashion;"MFT786	";Mariage;16.638796;19.97;17;1;4
21;Papillon Magique Baroque Bleu;"MFT812	";Mariage;16.638796;19.97;14;1;5
29;Papillon Magique Baroque Rose;MFT813;Mariage;16.638796;19.97;11;1;6
30;Papillon Magique Blanc Volutes;MFT534;Mariage;16.638796;19.97;16;1;7
33;Papillon Magique Blanc Plumes;MFT804;Mariage;16.638796;19.97;21;1;8
34;Papillon Magique Rose Plumes;MFT809;Mariage;16.638796;19.97;17;1;9
38;Papillon Magique Bleu Plumes;MFT810;Mariage;16.638796;19.97;12;1;10
39;Papillon Magique Bordeaux Plumes;MFT808;Mariage;16.638796;19.97;1;1;11
40;Papillon Magique Anges Bleu;MFT52;Mariage;16.638796;19.97;19;1;12
41;Papillon Magique Anges rose;MFT53;Mariage;16.638796;19.97;5;1;13
43;Papillon Magique Baroque Vert;MFT503;Mariage;16.638796;19.97;11;1;14
45;Papillon Magique Amour Violet;MFT318;Anniversaires & Fêtes;8.277592;9.93;15;1;15
48;Papillon Magique Amour Rouge;MFT317;Anniversaires & Fêtes;8.277592;9.93;20;1;16
50;Papillon Magique Cupidon;MFT320;Anniversaires & Fêtes;8.277592;9.93;8;1;17
49;Papillon Magique Amour Blanc;MFT319;Anniversaires & Fêtes;8.277592;9.93;10;1;18
51;Papillon Magique Coeurs Multicolores;MFT36;Anniversaires & Fêtes;8.277592;9.93;10;1;19
67;Papillon Magique Leuconoe;MFT612;Papillons du monde;16.638796;19.97;8;1;20
71;Papillon Magique Arc en Ciel;MFT658;Anniversaires & Fêtes;16.638796;19.97;9;1;21
73;Papillon Magique Bleu et Blanc;MFS26;Anniversaires & Fêtes;16.638796;19.97;13;1;22
77;Papillon Magique Rose Eclatant;MFS21;Anniversaires & Fêtes;16.638796;19.97;10;0;23
78;Papillon Magique Coccinelles;MFT622;Anniversaires & Fêtes;16.638796;19.97;9;1;24
83;Papillon Magique Rouge 2;MFT695;Anniversaires & Fêtes;16.638796;19.97;16;1;25
76;Papillon Magique Vert Anis;MFT701;Anniversaires & Fêtes;16.638796;19.97;10;1;26
66;Papillon Magique Azuré du Serpolet;MFBW682;Papillons du monde;16.638796;19.97;16;1;27
68;Papillons du Monde blanc;MFT232;Papillons du monde;16.638796;19.97;0;0;28
158;Faire-part Alliances + Papillon Magique Monarque;FPM081;Faire-part de mariage;2.884615;3.46;2000;1;29
162;Faire-part Volutes Gris + Papillon Magique Blanc Plumes ;FPMO71;Faire-part de mariage;2.884615;3.46;1850;1;30
163;Faire-part Dentelles Gris + Papillon Magique Blanc Plumes;FPMO52;Faire-part de mariage;2.884615;3.46;2000;1;31
164;Faire-part Charleston Gris + Papillon Magique Leuconoe;FPM012;Faire-part de mariage;2.884615;3.46;2000;1;32
165;Faire-part Baroque Bleu + Papillon Magique Baroque Bleu;FPMO02;Faire-part de mariage;2.884615;3.46;1940;1;33
166;Faire-part Floral Rose + Papillon Magique Rose Plumes;FPM062;Faire-part de mariage;2.884615;3.46;2000;1;34
167;Faire-part Coeurs Rouges + Papillon Magique Bleu Fashion;FPMO21;Faire-part de mariage;2.884615;3.46;1855;1;35
168;Faire-part Papillons Coeur Blanc + Papillon Magique Blanc Fashion ;FPMO31;Faire-part de mariage;2.884615;3.46;2000;1;36
169;Faire-part Papillon Fleurs blanc + Papillon Magique Blanc Fashion;FPMO41;Faire-part de mariage;2.884615;3.46;2000;1;37
170;Faire-part Dentelles Rose + Papillon Magique Rose Plumes;FPM053;Faire-part de mariage;2.884615;3.46;2000;1;38
171;Faire-part Dentelles Bleu + Papillon Magique Bleu Plumes;FPM051;Faire-part de mariage;2.884615;3.46;2000;1;39
172;Faire-part Volutes Rose + Papillon Magique Rose Plumes;FPM051;Faire-part de mariage;2.884615;3.46;1955;1;40
173;Faire-part Volutes Bleu + Papillon Magique Bleu Plumes;FPMO72;Faire-part de mariage;2.884615;3.46;2000;1;41
174;Faire-part Baroque Rose + Papillon Magique Baroque Rose;FPM003;Faire-part de mariage;2.884615;3.46;1930;1;42
175;Faire-part Baroque Blanc + Papillon Magique Baroque Blanc;FPM001;Faire-part de mariage;2.884615;3.46;1875;1;43
176;Faire-part Papillon Fleurs Bleu + Papillon Magique Bleu Fashion ;FPM042;Faire-part de mariage;2.884615;3.46;2000;1;44
177;Faire-part Papillon Fleurs Rose + Papillon Magique Rose Fashion;FPM043;Faire-part de mariage;2.884615;3.46;2000;1;45
178;Faire-part Papillon Fleurs Vert + Papillon Magique Vert Fashion;FPM044;Faire-part de mariage;2.884615;3.46;1940;1;46
179;Faire-part Floral Vert + Papillon Magique Vert ;FPM063;Faire-part de mariage;2.884615;3.46;2000;1;47
180;Faire-part Floral Jaune + Papillon Magique Jaune;FPM061;Faire-part de mariage;2.884615;3.46;2000;1;48
181;Faire-part Charleston Rose + Papillon Magique Rose Plumes;FPM013;Faire-part de mariage;2.884615;3.46;2000;1;49
